,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
647,The Raid 2,2014,8.0,71.0,115130,2.63,150
648,Pink Floyd: The Wall,1982,8.1,47.0,76590,22.24,95
649,Nebraska,2013,7.7,87.0,112993,17.65,115
650,Time of the Gypsies,1988,8.2,,27430,0.28,142
651,Days of Heaven,1978,7.8,93.0,53471,,94
652,In the Heat of the Night,1967,7.9,75.0,68513,24.38,110
653,Beasts of No Nation,2015,7.7,79.0,74833,0.08,137
654,Wings of Desire,1987,8.0,79.0,65544,3.33,128
655,The Great Beauty,2013,7.8,86.0,81961,2.85,141
656,Modern Times,1936,8.5,96.0,220587,0.16,87
657,La Dolce Vita,1960,8.0,95.0,67338,19.52,174
658,Gangs of Wasseypur,2012,8.2,89.0,83483,,321
659,Rope,1948,8.0,73.0,131127,,80
660,The Day of the Jackal,1973,7.8,80.0,37827,16.06,143
661,Dial M for Murder,1954,8.2,75.0,160152,0.01,105
662,Barton Fink,1991,7.7,69.0,114069,6.15,116
663,25th Hour,2002,7.6,68.0,170556,13.06,135
664,Hannah and Her Sisters,1986,7.9,90.0,67747,40.08,107
665,The Secret World of Arrietty,2010,7.6,80.0,82303,19.2,94
666,Song of the Sea,2014,8.1,85.0,52686,0.86,93
667,The Great Dictator,1940,8.4,,205223,0.29,125
668,Nosferatu,1922,7.9,,89538,,94
669,A Prophet,2009,7.9,90.0,94173,2.08,155
670,Cabaret,1972,7.8,80.0,48748,42.77,124
671,Breaking the Waves,1996,7.8,76.0,62910,4.04,159
672,Fantastic Planet,1973,7.8,73.0,26019,0.19,72
673,Double Indemnity,1944,8.3,95.0,145013,5.72,107
674,Brief Encounter,1945,8.0,92.0,36149,,86
675,The Wave,2008,7.6,,103619,,107
676,Paprika,2006,7.7,81.0,72501,0.88,90
677,Amour,2012,7.9,94.0,93926,6.74,127
678,PK,2014,8.1,,164879,10.62,153
679,Escape from Alcatraz,1979,7.6,76.0,123115,43.0,112
680,Once,2007,7.8,88.0,111296,9.44,86
681,Whisper of the Heart,1995,7.9,75.0,53238,,111
682,Hamlet,1996,7.7,,36172,4.41,242
683,Secrets & Lies,1996,8.0,91.0,38124,13.42,136
684,Breathless,1960,7.8,,74091,0.34,90
685,Yojimbo,1961,8.2,,112644,,110
686,Judgment at Nuremberg,1961,8.2,60.0,70281,,179
687,It Happened One Night,1934,8.1,87.0,95036,4.36,105
688,The Killing Fields,1984,7.8,76.0,52036,34.7,141
689,Being There,1979,8.0,83.0,66231,30.18,130
690,The Chaser,2008,7.8,64.0,59315,,125
691,Run Lola Run,1998,7.6,77.0,189265,7.27,80
692,Bicycle Thieves,1948,8.3,,148453,0.33,89
693,Letters from Iwo Jima,2006,7.9,89.0,154771,13.76,141
694,High and Low,1963,8.4,,35600,,143
695,Touch of Evil,1958,8.0,99.0,98967,2.24,95
696,Pride,2014,7.8,79.0,52463,,119
697,A Little Princess,1995,7.7,83.0,32455,10.02,97
698,"Planes, Trains & Automobiles",1987,7.6,72.0,125823,49.53,93
699,The Tenant,1976,7.7,71.0,40387,1.92,126
700,Three Colors: Blue,1993,7.9,85.0,91337,1.32,94
701,Mary and Max,2009,8.1,,165868,,92
702,Gaslight,1944,7.8,,25010,,114
703,The Straight Story,1999,8.0,86.0,82857,6.2,112
704,From Here to Eternity,1953,7.6,85.0,43745,30.5,118
705,The White Ribbon,2009,7.8,82.0,69232,2.22,144
706,Ikiru,1952,8.3,,69620,0.06,143
707,Black Book,2006,7.7,71.0,73038,4.4,145
708,Once Were Warriors,1994,7.9,77.0,31774,2.2,102
709,All That Jazz,1979,7.9,72.0,28526,37.82,123
710,The Long Goodbye,1973,7.6,87.0,26695,0.96,112
711,Victoria,2015,7.6,77.0,53680,,138
712,Watership Down,1978,7.6,64.0,33937,,91
713,Guess Who's Coming to Dinner,1967,7.8,63.0,40225,56.7,108
714,Where Eagles Dare,1968,7.7,63.0,52330,,158
715,The 400 Blows,1959,8.1,,106740,,99
716,La Vie En Rose,2007,7.6,66.0,83265,10.3,140
717,The Mirror,1975,8.1,80.0,40772,0.18,107
718,The Lion in Winter,1968,7.9,,29241,22.28,134
719,The Manchurian Candidate,1962,7.9,94.0,71601,,126
720,The Kid,1921,8.3,,115044,5.45,68
721,City Lights,1931,8.5,99.0,169662,0.02,87
722,Tangerines,2013,8.2,73.0,41572,0.14,87
723,Kelly's Heroes,1970,7.6,50.0,45636,1.38,144
724,Le Samouraï,1967,8.1,,46122,0.04,101
725,Good Bye Lenin!,2003,7.7,68.0,138831,4.06,121
726,The Odd Couple,1968,7.7,86.0,31942,44.53,105
727,The Killing,1956,8.0,91.0,82478,,84
728,All About My Mother,1999,7.8,87.0,89895,8.26,101
729,Drishyam,2013,8.4,,34011,,160
730,The Secret of Kells,2009,7.6,81.0,32395,0.69,75
731,Patton,1970,7.9,91.0,94251,61.7,172
732,Loving Vincent,2017,7.8,62.0,51614,6.74,94
733,Open Your Eyes,1997,7.7,,64483,0.37,119
734,Andrei Rublev,1966,8.1,,47844,0.1,205
735,Il Postino,1994,7.7,81.0,33961,21.85,108
736,Fanny and Alexander,1982,8.1,100.0,58163,4.97,188
737,A Man Called Ove,2015,7.7,70.0,48296,3.36,116
738,Dead Man,1995,7.6,62.0,91136,1.04,121
739,The Night of the Hunter,1955,8.0,99.0,82692,0.65,92
740,The Big Sleep,1946,7.9,,79277,6.54,114
741,Sympathy for Mr. Vengeance,2002,7.6,56.0,63389,0.05,129
742,The African Queen,1951,7.7,91.0,72044,0.54,105
743,Belle de Jour,1967,7.7,,40758,0.03,100
744,The Tale of The Princess Kaguya,2013,8.0,89.0,39698,1.51,137
745,Three Colors: Red,1994,8.1,100.0,92158,4.04,99
746,Porco Rosso,1992,7.7,83.0,79294,,94
747,Dead Man's Shoes,2004,7.6,52.0,50074,0.01,90
748,Children of Heaven,1997,8.3,77.0,66435,0.93,89
749,Kagemusha,1980,8.0,84.0,32529,,162
750,The Muppet Movie,1979,7.6,74.0,33141,76.66,95
751,Strangers on a Train,1951,7.9,88.0,124105,7.63,101
752,The Hustler,1961,8.0,90.0,75508,8.28,134
753,The Double Life of Véronique,1991,7.8,86.0,43153,2.0,98
754,Short Cuts,1993,7.7,79.0,42521,6.11,188
755,The Diving Bell and the Butterfly,2007,8.0,92.0,103750,5.99,112
756,Infernal Affairs,2002,8.0,75.0,118462,0.17,101
757,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,192933,52.04,81
758,The Treasure of the Sierra Madre,1948,8.2,98.0,115325,5.01,126
759,The Man Who Would Be King,1975,7.8,91.0,45427,,129
760,Perfect Strangers,2016,7.8,,58156,,96
761,Wild Strawberries,1957,8.2,88.0,97776,,91
762,Mysterious Skin,2004,7.6,73.0,66242,0.7,105
763,Notorious,1946,7.9,100.0,92963,10.46,102
764,3-Iron,2004,8.0,72.0,51192,0.24,88
765,Waking Life,2001,7.8,83.0,61069,2.89,99
766,The Philadelphia Story,1940,7.9,96.0,64103,,112
767,Soorarai Pottru,2020,8.6,,56897,,153
768,A Christmas Story,1983,7.9,77.0,133462,20.61,93
769,Fantasia,1940,7.7,96.0,89340,76.41,125
770,The Lady Vanishes,1938,7.8,98.0,48027,,96
771,Inherit the Wind,1960,8.1,75.0,27555,,128
772,Leviathan,2014,7.6,92.0,49921,1.09,140
773,Zulu,1964,7.7,77.0,36359,,138
774,The Verdict,1982,7.7,77.0,36500,54.0,129
775,The Cabinet of Dr. Caligari,1920,8.1,,58026,,67
776,Wait Until Dark,1967,7.8,81.0,27948,17.55,108
777,The Legend of 1900,1998,8.1,58.0,59598,0.26,169
778,The Motorcycle Diaries,2004,7.8,75.0,97268,16.76,126
779,Rififi,1955,8.1,97.0,29761,0.06,118
780,The Day the Earth Stood Still,1951,7.7,,76590,,92
781,The World's Fastest Indian,2005,7.8,68.0,52268,5.13,127
782,Batman: Mask of the Phantasm,1993,7.8,,44340,5.62,76
783,The Conformist,1970,8.0,100.0,27542,0.54,113
784,Frankenstein,1931,7.8,91.0,65859,,70
785,Death Note,2006,7.7,,28810,,126
786,The 39 Steps,1935,7.6,93.0,52537,,86
787,Repulsion,1965,7.7,91.0,49332,,105
788,Withnail & I,1987,7.7,84.0,40763,1.54,107
789,Talk to Her,2002,7.9,86.0,105306,9.28,112
790,A Very Long Engagement,2004,7.6,76.0,71199,6.17,133
791,Underground,1995,8.1,,55580,0.17,167
792,Freaks,1932,7.9,80.0,42440,,64
793,Elite Squad,2007,8.0,33.0,98765,0.01,115
794,The Message,1976,8.2,,44265,,177
795,When Marnie Was There,2014,7.7,72.0,33716,0.77,103
796,The Broken Circle Breakdown,2012,7.7,70.0,39665,0.18,111
797,Night on Earth,1991,7.8,68.0,55946,2.02,129
798,Fitzcarraldo,1982,8.1,,31979,,158
799,A Man for All Seasons,1966,7.7,72.0,31698,28.35,120
800,Tokyo Story,1953,8.2,,54163,,136
801,The Best Years of Our Lives,1946,8.0,93.0,57772,23.65,170
802,After the Wedding,2006,7.7,78.0,32444,0.41,120
803,The Red Shoes,1948,8.1,,31386,10.9,135
804,The Grapes of Wrath,1940,8.0,96.0,86079,0.06,129
805,Arsenic and Old Lace,1942,8.0,,65544,,118
806,The Hidden Fortress,1958,8.1,,35348,,126
807,Mr. Smith Goes to Washington,1939,8.1,73.0,107832,9.6,129
808,The Salesman,2016,7.8,85.0,52326,2.4,124
809,Ninja Scroll,1993,7.9,,34832,,94
810,Lilya 4-Ever,2002,7.8,82.0,42986,0.18,109
811,Duck You Sucker,1971,7.6,77.0,30477,0.7,138
812,"Aguirre, the Wrath of God",1972,7.9,,52896,,95
813,The Adventures of Robin Hood,1938,7.9,97.0,47457,3.98,102
814,All Quiet on the Western Front,1930,8.0,91.0,57635,3.27,152
815,Frost/Nixon,2008,7.7,80.0,103849,18.59,122
816,The Vanishing,1988,7.7,,34321,,107
817,"I, Daniel Blake",2016,7.9,78.0,54654,0.26,100
818,Throne of Blood,1957,8.1,,47279,,110
819,Autumn Sonata,1978,8.2,,27939,,99
820,Laura,1944,8.0,,43105,4.36,88
821,The Little Prince,2015,7.7,70.0,57332,1.34,108
822,Cries & Whispers,1972,8.1,,30664,1.74,91
823,Hedwig and the Angry Inch,2001,7.7,85.0,32140,3.03,95
824,The Battle of Algiers,1966,8.1,96.0,53830,0.06,121
825,Amarcord,1973,7.9,,40295,0.29,123
826,Red River,1948,7.8,,28488,,133
827,Control,2007,7.7,78.0,61952,0.87,122
828,Gilda,1946,7.7,,28272,,110
829,The Station Agent,2003,7.6,81.0,67673,5.74,89
830,Crimes and Misdemeanors,1989,7.9,77.0,55111,18.25,104
831,Eyes Without a Face,1960,7.7,90.0,28032,0.05,90
832,The Experiment,2001,7.7,60.0,91189,0.14,120
833,The Sea Inside,2004,8.0,74.0,78019,2.09,126
834,Scarface,1932,7.8,87.0,25575,,93
835,Wolf Children,2012,8.1,71.0,39467,,117
836,Chhichhore,2019,8.2,,34912,0.9,143
837,Ivan's Childhood,1962,8.1,,32297,,84
838,Rang De Basanti,2006,8.2,,112892,2.2,167
839,Zindagi Na Milegi Dobara,2011,8.2,,68641,3.11,155
840,The Bandit,1996,8.2,,64883,,128
841,Winter Sleep,2014,8.1,88.0,47358,0.17,196
842,Persepolis,2007,8.0,90.0,89305,4.45,96
843,Mustang,2015,7.6,83.0,36241,0.85,97
844,Cowboy Bebop: The Movie,2001,7.9,61.0,43331,1.0,115
845,Three Colors: White,1994,7.6,88.0,65507,1.46,92
846,Shine,1996,7.7,87.0,51633,35.81,105
847,Ayla: The Daughter of War,2017,8.4,,34871,,125
848,Adam's Apples,2005,7.8,51.0,46207,0.0,94
849,Invasion of the Body Snatchers,1956,7.7,92.0,45284,,80
850,A Hard Day's Night,1964,7.6,96.0,40644,13.78,87
851,Cape Fear,1962,7.7,76.0,26665,,106
852,The Discreet Charm of the Bourgeoisie,1972,7.9,93.0,39265,0.2,102
853,The Wages of Fear,1953,8.1,85.0,55274,,131
854,Peeping Tom,1960,7.7,,31770,0.08,101
855,In a Lonely Place,1950,8.0,,27271,,94
856,Lagaan: Once Upon a Time in India,2001,8.1,84.0,105837,0.07,224
857,Diabolique,1955,8.0,,61892,,117
858,Bajrangi Bhaijaan,2015,8.0,,73028,8.18,163
859,Gully Boy,2019,8.0,65.0,32525,5.57,154
860,Interstate 60: Episodes of the Road,2002,7.7,,30216,,116
861,To Have and Have Not,1944,7.8,,31368,,100
862,"Black Cat, White Cat",1998,8.1,73.0,51241,0.35,127
863,Vivre Sa Vie,1962,8.0,,28549,,85
864,Fearless,2006,7.6,70.0,73126,24.63,104
865,Down by Law,1986,7.8,75.0,48237,1.44,107
866,Vikram Vedha,2017,8.4,,29285,,147
867,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,78086,2.38,103
868,The Past,2013,7.8,85.0,45337,1.33,130
869,To Be or Not to Be,1942,8.2,86.0,30787,,99
870,The Bride of Frankenstein,1935,7.8,95.0,43856,4.36,75
871,Ace in the Hole,1951,8.1,72.0,31988,3.97,111
872,In America,2002,7.7,76.0,40556,15.54,105
873,Key Largo,1948,7.8,,37240,,100
874,My Name Is Khan,2010,8.0,50.0,99238,4.02,165
875,The Innocents,1961,7.8,88.0,27308,2.62,100
876,Kal Ho Naa Ho,2003,7.9,54.0,63896,1.79,186
877,Stalag 17,1953,8.0,84.0,51300,,120
878,Joint Security Area,2000,7.8,58.0,26997,,110
879,Once Upon a Time in Anatolia,2011,7.9,82.0,42691,0.14,157
880,The Taking of Pelham One Two Three,1974,7.7,68.0,26983,0.85,104
881,His Girl Friday,1940,7.9,,54124,0.3,92
882,La Strada,1954,8.0,,58808,,108
883,Out of the Past,1947,8.0,,33225,,97
884,Loveless,2017,7.6,86.0,30188,0.57,127
885,Evil,2003,7.8,61.0,35855,0.02,113
886,Head-On,2004,7.9,78.0,51658,,121
887,No Man's Land,2001,7.9,84.0,44999,1.06,98
888,The Lunchbox,2013,7.8,76.0,51092,4.23,104
889,The Passion of Joan of Arc,1928,8.1,,48547,0.02,114
890,Sweet Smell of Success,1957,8.0,100.0,28556,,96
891,Only Yesterday,1991,7.6,90.0,27701,0.45,118
892,The Thin Man,1934,8.0,86.0,26889,,91
893,Bringing Up Baby,1938,7.8,91.0,55684,,102
894,The Chorus,2004,7.9,56.0,57902,3.64,97
895,The Gold Rush,1925,8.2,,102308,5.45,95
896,My Father and My Son,2005,8.3,,79998,,112
897,The Return,2003,8.0,82.0,42928,0.5,110
898,Darbareye Elly,2009,8.0,87.0,46729,0.11,119
899,Raise the Red Lantern,1991,8.1,,29929,2.6,125
900,Au Revoir les Enfants,1987,8.0,88.0,31470,4.54,104
901,The Girl Who Leapt Through Time,2006,7.7,,61085,,98
902,Fireworks,1997,7.8,,28043,0.23,103
903,Vampire Hunter D: Bloodlust,2000,7.7,62.0,29485,0.15,103
904,Hard Boiled,1992,7.8,,47041,,128
905,Baahubali 2: The Conclusion,2017,8.2,,76258,20.19,167
906,K.G.F: Chapter 1,2018,8.2,,38102,,156
907,Rockstar,2011,7.7,,39885,0.99,159
908,Departures,2008,8.1,68.0,48969,1.5,130
909,Lupin the 3rd: Castle of Cagliostro,1979,7.7,71.0,27489,,102
910,Nobody Knows,2004,8.1,88.0,25225,0.68,141
911,Sunrise,1927,8.1,,47196,0.54,94
912,The General,1926,8.1,,82028,1.03,67
913,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,57042,1.19,113
914,The Invisible Man,1933,7.7,87.0,31093,,71
915,Love Me If You Dare,2003,7.6,45.0,67696,0.55,93
916,In a Better World,2010,7.6,65.0,38656,1.01,118
917,Jules and Jim,1962,7.8,97.0,38115,,105
918,The Exterminating Angel,1962,8.1,,30063,,95
919,Sleuth,1972,8.0,,45016,4.08,138
920,Queen,2013,8.2,,61061,1.43,146
921,The Purple Rose of Cairo,1985,7.7,75.0,47473,10.63,82
922,Battleship Potemkin,1925,8.0,97.0,53632,0.05,66
923,Farewell My Concubine,1993,8.1,,25399,5.22,171
924,Kind Hearts and Coronets,1949,8.0,,34784,,106
925,Harvey,1950,7.9,,52771,,104
926,Swades,2004,8.2,,83556,1.22,189
927,Confessions,2010,7.8,,36059,,106
928,G.O.R.A.,2004,8.0,,57668,,127
929,Nights of Cabiria,1957,8.1,,43383,0.75,110
930,Bhaag Milkha Bhaag,2013,8.2,,61562,1.63,186
931,Anand,1971,8.3,,30939,,122
932,Celda 211,2009,7.6,,64273,,113
933,Tokyo Godfathers,2003,7.8,73.0,32219,0.13,92
934,The Virgin Spring,1960,8.1,,26975,1.53,89
935,L'Avventura,1960,7.9,,26915,,144
936,The Magdalene Sisters,2002,7.7,83.0,26075,4.89,114
937,Elite Squad 2: The Enemy Within,2010,8.0,71.0,79663,0.1,115
938,Pink,2016,8.1,,39697,1.24,136
939,Love and Death,1975,7.7,89.0,36388,,85
940,Lifeboat,1944,7.6,78.0,26677,,97
941,My Sassy Girl,2001,8.0,,45645,,137
942,Talvar,2015,8.2,,31484,0.34,132
943,Sanjuro,1962,8.1,,33584,,96
944,Kahaani,2012,8.1,,58200,1.04,122
945,Central Station,1998,8.0,80.0,36780,5.6,115
946,The Triplets of Belleville,2003,7.8,91.0,50884,7.0,78
947,The Killer,1989,7.8,82.0,45887,,111
948,The Ladykillers,1955,7.7,91.0,26795,,91
949,Uri: The Surgical Strike,2018,8.2,,44072,4.19,138
950,Barfi!,2012,8.1,,76273,2.8,151
951,Hiroshima Mon Amour,1959,7.9,,28835,0.09,90
952,Miracle on 34th Street,1947,7.9,88.0,41839,2.65,96
953,The Lost Weekend,1945,7.9,,33852,9.46,101
954,Nine Queens,2000,7.9,80.0,50108,1.22,114
955,Munna Bhai M.B.B.S.,2003,8.1,,74554,,156
956,Dilwale Dulhania Le Jayenge,1995,8.1,,63980,,181
957,Haider,2014,8.1,,50741,0.9,160
958,Duck Soup,1933,7.8,93.0,55852,,69
959,Hera Pheri,2000,8.2,,57697,,156
960,Dil Chahta Hai,2001,8.1,,67233,0.3,183
961,Black,2005,8.2,,33519,0.73,122
962,Sherlock Jr.,1924,8.2,,42883,0.98,45
963,Baby,2015,8.0,,53113,,159
964,Knockin' on Heaven's Door,1997,8.0,,27993,0.0,87
965,Badhaai Ho,2018,8.0,,28418,,124
966,White Heat,1949,8.1,,30071,,114
967,The Shop Around the Corner,1940,8.1,96.0,28779,0.2,99
968,C.R.A.Z.Y.,2005,7.9,81.0,31577,,129
969,Joyeux Noel,2005,7.7,70.0,28135,1.05,116
970,Udaan,2010,8.2,,42570,0.01,134
971,Special 26,2013,8.0,,51410,1.08,144
972,Veer-Zaara,2004,7.8,67.0,49448,2.92,192
973,Udta Punjab,2016,7.8,,27409,,148
974,Tae Guk Gi: The Brotherhood of War,2004,8.1,64.0,37996,1.11,140
975,Zelig,1983,7.7,,40173,11.8,79
976,The Muppet Christmas Carol,1992,7.7,64.0,50589,27.28,85
977,Andaz Apna Apna,1994,8.2,,49589,,160
978,Le Dîner de Cons,1998,7.7,73.0,37712,4.07,80
979,Jab We Met,2007,7.9,,48102,0.41,138
980,The Rules of the Game,1939,8.0,,26957,,110
981,La Grande Illusion,1937,8.1,,34104,0.17,113
982,The Edge of Heaven,2007,7.8,85.0,30962,0.74,122
983,A Wednesday,2008,8.1,,74238,,104
984,A Night at the Opera,1935,7.9,,30765,2.54,96
985,English Vinglish,2012,7.8,,33883,1.67,134
986,Raazi,2018,7.8,,25725,,138
987,Chak De! India,2007,8.2,68.0,74695,1.11,153
988,Kai Po Che,2013,7.7,40.0,32990,1.12,120
989,Sholay,1975,8.2,,51651,,162
990,Paan Singh Tomar,2012,8.2,,33478,0.04,135
991,The Circus,1928,8.1,90.0,30635,,72
992,Dev.D,2009,8.0,,28920,0.01,144
993,OMG: Oh My God!,2012,8.1,,52201,0.92,125
994,Airlift,2016,8.0,,53120,,130
995,Lage Raho Munna Bhai,2006,8.1,,43422,2.22,144
996,Vizontele,2001,8.0,,33956,,110
997,M.S. Dhoni: The Untold Story,2016,7.8,,41043,1.78,184
998,The Breath,2009,8.0,,32052,,128
999,Vicky Donor,2012,7.8,,39950,0.17,126
